id,name,artist,artist id,popularity,danceability,energy level,playlist sources,playlist occurances
08GOw3NsrJ0LsCCeyqzt3b,Thank You For The Music,ABBA,0LcJLqbBmaGUft1e9Mm8HV,0,,,['This Is ABBA'],1
08JMkiJUfrHbd0cKM63Vjd,Dansa i neon (N!NE Remix),Lena Philipsson,7rZYHhxGKbe1XepzlpDlKm,41,,,['30 km/h'],1
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,711MCceyCBcFnzjGY4Q7Un,84,,,"['All Out 80s', 'Rock Classics']",2
09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,87,,,"[""It's Hits Sweden"", 'Gym Hits', 'Club Hits 2024', 'Sommarhits 2024']",4
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,83,,,['Songs to Sing in the Car'],1
09KcJTiSWfibriFPchj0Jt,DON'T,Ari Abdul,25jJ6vyXwTRa0e6XCcdR6U,52,,,['New Music Friday Sweden'],1
09OI806whb3IMWWtr8mdHx,White Sand,On Dunes,6oMeZudDfeCsLbPHmZFt1x,68,,,['Sleep'],1
09Wb0tXOCMmPqJ8TbCJfAT,The Redeem,Oaktale,4IuzTmSlbUNhhIcAK5fBiQ,67,,,['Sleep'],1
09hqlbu460ywhdLZcjPScr,Flickan på min gata,Benjamin Ingrosso,7jEEE187pVG6InOxn03oA5,51,,,['This Is Benjamin Ingrosso'],1
09mqr5EvjSQ0B2HRxjs86L,Dancing the Whole Way Home,Miss Li,04HqRx07Bv9gh7rsrMTqs7,38,,,['This Is Miss Li'],1
09o8YE3Ta7YRXh5NI9HPZQ,Rara söta Anna,Ronny & Ragge,5pyF7nerLdGc4ZV3U72tdQ,45,,,['Svenska Favoriter'],1
09olrvgVUSM3dbNGP6x7fE,Dagar som aldrig tar slut,Theo,5vBoU7A2kwbTXyUPZK5Gq1,46,,,['Ny Pop'],1
09uma8kvpf699ailOSlzds,Captain Jack - Short Mix,Captain Jack,1b81zU0IfjHE8krv2IZ0Hf,52,,,['90s Dance Party'],1
0A1JLUlkZkp2EFrosoNQi0,Labyrinth,Taylor Swift,06HL4z0CvFAxyc27GXpf02,71,,,['This Is Taylor Swift'],1
0ARK753YaiJbpLUk7z5yIM,Dilemma,Nelly,2gBjLmx6zQnFGQJCAQpRgw,80,,,['All Out 2000s'],1
0Ajb3AAzrWvCSo3aMW6mXt,Glaciara,Sangenjaya,5ZrrEKTUqjrI6kAVj5Mfrl,59,,,['Sleep'],1
0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,82,,,['All Out 2000s'],1
0BDAEDU0xwjxl7GFNDuwOh,Fast här inne,Sofijah,6fMbyqT4Iqi8hMs9w4tpPD,41,,,[':)'],1
0BDaM0EnJiCl6jmWAIERk3,Arbor,Samuel Kees,6KGVoP7dCFZ2FILUCCj4rn,69,,,['Peaceful Piano'],1
0BHNkpGmcexaGyUHDZCQXG,Monster,Don Diablo,1l2ekx5skC4gJH8djERwh1,64,,,"['Sommarhits 2024', 'Pepplåtar till träningspasset']",2
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,82,,,"['Songs to Sing in the Car', 'All Out 2000s']",2
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,0jnsk9HBra6NMjO2oANoPY,82,,,['All Out 2000s'],1
0COid4yuRhbLqTkgzhu9k9,In The Summertime,Shaggy,5EvFsr3kj42KNv97ZEnqij,46,,,['Sommarhits Retro'],1
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,5nGIFgo0shDenQYSE0Sn7c,84,,,['All Out 2000s'],1
0DXmK0QaBycr8MpM52Kaeo,Heaven - Acoustic,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,48,,,['Lugnt & Skönt'],1
0DehBS4WpabuTqGEb68G3d,Där hjärtat satt förut,Veronica Maggio,2OIWxN9xUhgUHkeUCWCaNs,36,,,['This Is Veronica Maggio'],1
0DnhhwJ9zw3xjRHGB7eo7R,Quiet Times,Dan Maus,7oJoc76R3JMv7dZhxgi7zD,66,,,['Peaceful Meditation'],1
0DqLuhTD1xI8mb2gY5YoLM,Den fulaste flickan i världen,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,33,,,['This Is Håkan Hellström'],1
0DuyXA1RYfcbVIFSHbywo2,White Noise and the Sun,Fall Asleep Machine,4vtg4rO9JcAzlfOvV3xNB7,54,,,['White Noise Baby Sleep'],1
0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,69,,,['Dinner with Friends'],1
0EYSAcArOvu8Pfqo347B2Y,In The Middle Of The Night,Magic Affair,57wcrAkVrpq3DyUqt6S8Sg,46,,,['90s Dance Party'],1
0EqczV3o6fwksegAavIHpX,LOVELY BASTARDS,ZWE1HVNDXR,33rnQWadiG2aauIwIxPxfB,81,,,['phonk'],1
0F5L21B9FbT2Y9AM2OnCgE,Hur mycket? (pengar vill du ha),Hov1,68dW5BU6sdVNf099EylxEt,55,,,['This Is Hov1'],1
0FAWHFKFtk9eUQK6gLxBkw,Maraton (feat. Eah Jé),Miss Li,04HqRx07Bv9gh7rsrMTqs7,68,,,"['Ny Pop', ""It's Hits Sweden"", 'This Is Miss Li']",3
0FE6N5ER3DJdoyo220Uwfx,Get Back,GULEED,1Mw40k757jZuiL0NIJpdO5,42,,,"['New Music Friday Sweden', '100']",2
0FJJ5HNpXaqk3AEZ8ybmyV,Gatans fel,Shiro,2r9JAY6ISvp0VvZsT6cBJo,57,,,['100'],1
0FSlaiuv4eBrrjz05jpxz6,Bra vibrationer,Kikki Danielsson,3ktAhWMnoYiz6UpBEKfv5i,46,,,['Svenska Favoriter'],1
0FkLMOUTkSTPSAYkIXQ579,L'amour Toujours (Small Mix),Gigi D'Agostino,1OAjDaKgg00KCUYqDe68un,63,,,['90s Dance Party'],1
0FkloQbDAl1xjM1UC2jBIN,En vän med en bil,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,48,,,['This Is Håkan Hellström'],1
0G17UriYHMjXnZE2OJJSMR,SUNRISE (Slowed + Reverb),Xantesha,2rgcNuLkn8pPBdKZhjZ8Em,72,,,['phonk'],1
0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,0,,,['Rock Classics'],1
0GONea6G2XdnHWjNZd6zt3,Summer Of '69,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,83,,,['All Out 80s'],1
0GOXlShsWOp7BQ7nt9uwUL,I Don't Wanna Wait - Hardwell & Olly James Remix,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,64,,,"['Gym Hits', 'Club Hits 2024']",2
0GRGJ6N5wWFpDTDqYJCzWU,Dusk's Embrace,Celestial Whisperer,7xJlH4dRZABxHqqBaA9Pac,70,,,['Sleep'],1
0GY3QNhYHD3WuBMqcLc127,När jag såg dig,Lars Winnerbäck,33zLgL7tT1vg7eRpWYX5uI,42,,,['This Is Lars Winnerbäck'],1
0GdZqKPBrvkpo7mk2OyHtf,Back Then Right Now,Tyler Hubbard,3BEV5FcxOtkQJ7lLRKMh3V,71,,,['Hot Country'],1
0GgPjT6UhpJWkUiZqXnQnx,Nordhemsgatan leder rakt in i himlen,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,38,,,['This Is Håkan Hellström'],1
0Go2dkupXF8IOq2X6gpKUe,Galea,Pius Sylla,7cD2wGIWLgv5oxmmgS1EY5,56,,,['Peaceful Meditation'],1
0GxUJLTF4RanPVwY1YpcZ3,Every Second,Mina Okabe,5BS8KSKJPeLeXfABQx0bXl,59,,,['Dinner with Friends'],1
0H4v7LA7Yvw6uRe4BbeOsp,Sjung högre,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,30,,,['This Is Håkan Hellström'],1
0H5o1FJTPbwPcUTXm8xe8l,Lämna mig inte i det här skicket,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,26,,,['This Is Håkan Hellström'],1
0HDVPeJfe1EkmfC6lCOQnp,Tillsammans i mörker,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,0,,,['This Is Håkan Hellström'],1
0HEmnAUT8PHznIAAmVXqFJ,Faith - Remastered,George Michael,19ra5tSw0tWufvUp8GotLo,78,,,['Classic Road Trip Songs'],1
0HOrDVS349XFcpCYsO2hAP,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,5q4AzEtCoYJyXjMMoEkSU5,71,,,['Classic Road Trip Songs'],1
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,6LqNN22kT3074XbTVUrhzX,85,,,['All Out 2000s'],1
